,Filename,Particel Size,Highest Pos RMSE,Highest Ori RMSE,Wt Avg Pos RMSE,Wt Avg Ori RMSE,Avg Pos RMSE,Avg Ori RMSE
0,studentdata1.mat,200,0.883,0.16,,,0.935,0.16
1,studentdata1.mat,500,113.077,2.978,,,113.075,2.977
2,studentdata1.mat,750,0.158,0.09,0.16,0.084,0.178,0.091
3,studentdata1.mat,1000,0.167,0.083,0.175,0.077,0.193,0.084
4,studentdata1.mat,2000,0.153,0.086,0.159,0.08,0.176,0.087
5,studentdata1.mat,3000,0.153,0.083,0.151,0.078,0.163,0.085
6,studentdata1.mat,4000,0.169,0.089,0.19,0.081,0.241,0.091
7,studentdata1.mat,5000,0.151,0.083,0.151,0.077,0.164,0.083
8,studentdata2.mat,200,0.467,0.125,0.468,0.115,0.532,0.129
9,studentdata2.mat,500,0.161,0.096,0.158,0.087,0.182,0.098
10,studentdata2.mat,750,0.197,0.095,0.2,0.086,0.252,0.1
11,studentdata2.mat,1000,0.167,0.105,0.171,0.102,0.199,0.114
12,studentdata2.mat,2000,0.156,0.095,0.144,0.09,0.161,0.101
13,studentdata2.mat,3000,0.155,0.094,0.146,0.092,0.164,0.104
14,studentdata2.mat,4000,0.16,0.089,0.162,0.088,0.188,0.103
15,studentdata2.mat,5000,0.165,0.088,0.161,0.083,0.177,0.096
16,studentdata3.mat,200,1.127,0.157,,,1.169,0.156
17,studentdata3.mat,500,6.715,0.356,,,6.721,0.356
18,studentdata3.mat,750,35.989,1.495,,,35.988,1.493
19,studentdata3.mat,1000,0.139,0.092,0.135,0.081,0.158,0.086
20,studentdata3.mat,2000,0.134,0.093,0.125,0.084,0.134,0.09
21,studentdata3.mat,3000,0.136,0.091,0.131,0.086,0.149,0.094
22,studentdata3.mat,4000,0.134,0.096,0.123,0.089,0.129,0.095
23,studentdata3.mat,5000,0.133,0.089,0.136,0.082,0.152,0.09
24,studentdata4.mat,200,129.729,1.579,,,129.73,1.578
25,studentdata4.mat,500,0.153,0.077,0.166,0.069,0.192,0.086
26,studentdata4.mat,750,0.175,0.076,0.202,0.067,0.245,0.089
27,studentdata4.mat,1000,0.519,0.105,0.524,0.096,0.589,0.112
28,studentdata4.mat,2000,0.146,0.075,0.154,0.066,0.172,0.084
29,studentdata4.mat,3000,0.143,0.071,0.139,0.064,0.149,0.084
30,studentdata4.mat,4000,0.143,0.07,0.147,0.064,0.16,0.084
31,studentdata4.mat,5000,0.141,0.071,0.137,0.064,0.144,0.083
32,studentdata5.mat,200,0.175,0.14,0.172,0.132,0.192,0.134
33,studentdata5.mat,500,196.546,4.526,,,196.545,4.526
34,studentdata5.mat,750,898.324,4.899,,,898.323,4.897
35,studentdata5.mat,1000,0.163,0.127,0.164,0.118,0.182,0.116
36,studentdata5.mat,2000,0.161,0.126,0.162,0.117,0.188,0.115
37,studentdata5.mat,3000,0.166,0.129,0.176,0.125,0.199,0.126
38,studentdata5.mat,4000,0.161,0.13,0.175,0.123,0.206,0.124
39,studentdata5.mat,5000,0.159,0.131,0.161,0.125,0.178,0.125
40,studentdata6.mat,200,441.851,6.646,,,441.852,6.644
41,studentdata6.mat,500,0.153,0.133,0.155,0.134,0.188,0.142
42,studentdata6.mat,750,225.983,2.923,,,225.984,2.923
43,studentdata6.mat,1000,193.644,1.878,,,193.647,1.878
44,studentdata6.mat,2000,0.154,0.123,0.159,0.117,0.183,0.119
45,studentdata6.mat,3000,0.142,0.122,0.14,0.115,0.158,0.115
46,studentdata6.mat,4000,0.144,0.127,0.15,0.123,0.175,0.123
47,studentdata6.mat,5000,0.141,0.122,0.14,0.12,0.158,0.124
48,studentdata7.mat,200,361.792,5.659,,,361.792,5.658
49,studentdata7.mat,500,40.085,0.91,,,40.086,0.909
50,studentdata7.mat,750,15.714,0.528,,,15.715,0.526
51,studentdata7.mat,1000,0.146,0.114,0.151,0.107,0.174,0.109
52,studentdata7.mat,2000,506.36,4.984,,,506.362,4.984
53,studentdata7.mat,3000,0.146,0.116,0.155,0.112,0.18,0.113
54,studentdata7.mat,4000,0.145,0.113,0.144,0.107,0.164,0.107
55,studentdata7.mat,5000,0.145,0.113,0.152,0.11,0.173,0.112
